GonadID,Genotype,Sex,treatment,ntX,RAD51
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.3082886162312944,14
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.3228200368956086,17
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.3356672812727455,2
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.3277237408418903,20
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.3337963651933595,14
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.3667276384638555,9
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.284847902135986,12
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.4608824673853342,14
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.4230768477201824,15
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.3996303683642645,17
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.3845548625012295,20
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.3981162039890403,14
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.4187764008459328,11
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.4154621726299645,11
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.4464835040073221,18
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.4117048132522407,8
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.4373079044735643,12
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.3848167073103987,9
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.3743989842332178,11
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.4969420278596438,14
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.5095323669177296,17
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.631086330539047,11
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.5664443002217845,18
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.5520150554526212,11
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.5977818694681021,10
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.5461557728926347,8
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.5799056833447742,9
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.4813400098961554,20
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.4957174916963995,9
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.6616745434977284,12
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.6766114569633034,9
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.7010057251488416,18
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.8253870515711544,4
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.7994308400948339,14
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.787812537080096,0
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.7860342763983857,6
20260521_ccw66_hs_1_dapi_rad51_syp1002_H001,msh5_alone,herm,hs,0.7792822657577094,8
