dataset,geno,sex,treat,syp
Madeleine,msh5/ccw66,herm,HS,171.48755000408195
Madeleine,msh5/ccw66,herm,HS,265.4182674199623
Madeleine,msh5/ccw66,herm,HS,160.1659266183688
Madeleine,msh5/ccw66,herm,HS,175.1140817469205
Madeleine,msh5/ccw66,herm,HS,181.2963184079602
Madeleine,msh5/ccw66,herm,HS,165.28328741965106
Madeleine,msh5/ccw66,herm,HS,257.27659778952426
Madeleine,msh5/ccw66,herm,HS,177.70093215950286
Madeleine,msh5/ccw66,herm,HS,133.9443081190654
Madeleine,msh5/ccw66,herm,HS,132.61495553759096
Madeleine,msh5/ccw66,herm,HS,287.1179255341835
Madeleine,msh5/ccw66,herm,HS,250.91483942032977
Madeleine,msh5/ccw66,herm,HS,165.10367577756833
Madeleine,msh5/ccw66,herm,HS,179.98812351543944
Madeleine,msh5/ccw66,herm,HS,265.5169973250111
Madeleine,msh5/ccw66,herm,HS,215.88895248998284
Madeleine,msh5/ccw66,herm,HS,293.4509040683074
Madeleine,msh5/ccw66,herm,HS,241.15881337116076
Madeleine,msh5/ccw66,herm,HS,163.5932386261464
Madeleine,msh5/ccw66,herm,HS,217.5587951341958
Madeleine,msh5/ccw66,herm,HS,182.31398123111185
Madeleine,msh5/ccw66,herm,HS,176.07036189963677
Madeleine,msh5/ccw66,herm,HS,272.93690886836544
Madeleine,msh5/ccw66,herm,HS,199.09863301787595
Madeleine,msh5/ccw66,herm,HS,315.9790609137056
Madeleine,msh5/ccw66,herm,HS,169.15966451215758
Madeleine,msh5/ccw66,herm,HS,172.4420600858369
Madeleine,msh5/ccw66,herm,HS,198.9420152091255
Madeleine,msh5/ccw66,herm,HS,172.640252029565
Madeleine,msh5/ccw66,herm,HS,329.8162677525077
Madeleine,msh5/ccw66,herm,HS,239.67349768875192
Madeleine,msh5/ccw66,herm,HS,171.27028410545176
Madeleine,msh5/ccw66,herm,HS,190.8467641953881
Madeleine,msh5/ccw66,herm,HS,174.4403498427673
Madeleine,msh5/ccw66,herm,HS,306.8533968049056
Madeleine,msh5/ccw66,herm,HS,264.94141677897574
Madeleine,msh5/ccw66,herm,HS,278.29036996735584
Madeleine,msh5/ccw66,herm,HS,260.14253193802665
Madeleine,msh5/ccw66,herm,HS,172.0922693266833
Madeleine,msh5/ccw66,herm,HS,286.0025011770245
